03-04-2018 12:58:35 	8B:35:C3:6E:10:6C 	referent-service : 	INFO - [1522753115101] User with username: coa995 has logged out.
03-04-2018 12:58:37 	8B:35:C3:6E:10:6C 	professor-service : 	INFO - [1522753117101] User with username: drstevanovic has logged out.
03-04-2018 12:58:39 	8B:35:C3:6E:10:6C 	student-service : 	INFO - [1522753119102] User with username: filip.savic has logged out.
03-04-2018 12:58:41 	8B:35:C3:6E:10:6C 	professor-service : 	DEBUG - [1522753121102] User with username: username1 has logged in.
03-04-2018 12:58:43 	8B:35:C3:6E:10:6C 	professor-service : 	CRITICAL - [1522753123102] User with username: drstevanovic has logged in.
03-04-2018 12:58:45 	8B:35:C3:6E:10:6C 	referent-service : 	WARNING - [1522753125102] User with username: coa995 has logged out.
03-04-2018 12:58:47 	8B:35:C3:6E:10:6C 	referent-service : 	WARNING - [1522753127102] User with username: filip.savic has logged out.
03-04-2018 14:20:05 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758005547] User with username: coa995 failed to log in.
03-04-2018 14:20:07 	54:BE:F7:5B:33:39 	student-service : 	WARNING - [1522758007563] User with username: coa995 failed to log in.
03-04-2018 14:20:09 	54:BE:F7:5B:33:39 	referent-service : 	ERROR - [1522758009563] User with username: filip.savic failed to log in.
03-04-2018 14:20:11 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758011564] User with username: filip.savic has logged in.
03-04-2018 14:20:13 	54:BE:F7:5B:33:39 	student-service : 	INFO - [1522758013564] User with username: drstevanovic failed to log in.
03-04-2018 14:20:15 	54:BE:F7:5B:33:39 	professor-service : 	DEBUG - [1522758015564] User with username: filip.savic has logged in.
03-04-2018 14:20:17 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758017564] User with username: username1 failed to log in.
03-04-2018 14:20:19 	54:BE:F7:5B:33:39 	professor-service : 	INFO - [1522758019564] User with username: filip.savic failed to log in.
03-04-2018 14:20:21 	54:BE:F7:5B:33:39 	student-service : 	ERROR - [1522758021565] User with username: coa995 failed to log in.
03-04-2018 14:20:23 	54:BE:F7:5B:33:39 	student-service : 	WARNING - [1522758023565] User with username: username1 has logged in.
03-04-2018 14:20:25 	54:BE:F7:5B:33:39 	professor-service : 	ERROR - [1522758025565] User with username: filip.savic has logged out.
03-04-2018 14:20:27 	54:BE:F7:5B:33:39 	professor-service : 	WARNING - [1522758027565] User with username: filip.savic has logged in.
03-04-2018 14:20:29 	54:BE:F7:5B:33:39 	referent-service : 	DEBUG - [1522758029566] User with username: coa995 has logged out.
03-04-2018 14:20:31 	54:BE:F7:5B:33:39 	student-service : 	INFO - [1522758031566] User with username: drstevanovic has logged in.
03-04-2018 14:20:33 	54:BE:F7:5B:33:39 	student-service : 	CRITICAL - [1522758033566] User with username: filip.savic has logged out.
03-04-2018 14:20:35 	54:BE:F7:5B:33:39 	professor-service : 	CRITICAL - [1522758035566] User with username: coa995 has logged out.
03-04-2018 14:20:37 	54:BE:F7:5B:33:39 	referent-service : 	INFO - [1522758037566] User with username: coa995 has logged in.
03-04-2018 14:20:39 	54:BE:F7:5B:33:39 	referent-service : 	INFO - [1522758039567] User with username: filip.savic has logged in.
03-04-2018 14:20:41 	54:BE:F7:5B:33:39 	referent-service : 	ERROR - [1522758041567] User with username: filip.savic failed to log in.
03-04-2018 14:20:43 	54:BE:F7:5B:33:39 	student-service : 	DEBUG - [1522758043567] User with username: coa995 has logged in.
03-04-2018 14:20:45 	54:BE:F7:5B:33:39 	student-service : 	CRITICAL - [1522758045567] User with username: filip.savic has logged in.
03-04-2018 14:20:47 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758047567] User with username: username1 failed to log in.
03-04-2018 14:20:49 	54:BE:F7:5B:33:39 	student-service : 	DEBUG - [1522758049568] User with username: filip.savic has logged in.
03-04-2018 14:20:51 	54:BE:F7:5B:33:39 	referent-service : 	ERROR - [1522758051568] User with username: drstevanovic has logged out.
03-04-2018 14:20:53 	54:BE:F7:5B:33:39 	professor-service : 	DEBUG - [1522758053568] User with username: coa995 has logged in.
03-04-2018 14:20:55 	54:BE:F7:5B:33:39 	professor-service : 	INFO - [1522758055568] User with username: username1 has logged in.
03-04-2018 14:20:57 	54:BE:F7:5B:33:39 	student-service : 	DEBUG - [1522758057568] User with username: drstevanovic has logged out.
03-04-2018 14:20:59 	54:BE:F7:5B:33:39 	professor-service : 	WARNING - [1522758059569] User with username: username1 has logged in.
03-04-2018 14:21:01 	54:BE:F7:5B:33:39 	referent-service : 	WARNING - [1522758061569] User with username: coa995 failed to log in.
03-04-2018 14:21:03 	54:BE:F7:5B:33:39 	referent-service : 	ERROR - [1522758063569] User with username: coa995 has logged in.
03-04-2018 14:21:05 	54:BE:F7:5B:33:39 	referent-service : 	DEBUG - [1522758065569] User with username: filip.savic has logged out.
03-04-2018 14:21:07 	54:BE:F7:5B:33:39 	referent-service : 	WARNING - [1522758067570] User with username: coa995 failed to log in.
03-04-2018 14:21:09 	54:BE:F7:5B:33:39 	student-service : 	DEBUG - [1522758069570] User with username: coa995 failed to log in.
03-04-2018 14:21:11 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758071571] User with username: coa995 has logged out.
03-04-2018 14:21:13 	54:BE:F7:5B:33:39 	student-service : 	WARNING - [1522758073575] User with username: filip.savic failed to log in.
03-04-2018 14:21:15 	54:BE:F7:5B:33:39 	student-service : 	CRITICAL - [1522758075581] User with username: coa995 failed to log in.
03-04-2018 14:21:17 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758077581] User with username: drstevanovic has logged out.
03-04-2018 14:21:19 	54:BE:F7:5B:33:39 	referent-service : 	DEBUG - [1522758079582] User with username: drstevanovic has logged out.
03-04-2018 14:21:21 	54:BE:F7:5B:33:39 	professor-service : 	CRITICAL - [1522758081582] User with username: filip.savic has logged out.
03-04-2018 14:21:23 	54:BE:F7:5B:33:39 	referent-service : 	WARNING - [1522758083582] User with username: filip.savic has logged in.
03-04-2018 14:21:25 	54:BE:F7:5B:33:39 	student-service : 	WARNING - [1522758085582] User with username: coa995 has logged out.
03-04-2018 14:21:27 	54:BE:F7:5B:33:39 	referent-service : 	CRITICAL - [1522758087582] User with username: coa995 has logged in.
03-04-2018 14:21:29 	54:BE:F7:5B:33:39 	professor-service : 	WARNING - [1522758089583] User with username: username1 has logged out.
03-04-2018 14:21:29 	54:BE:F7:5B:33:39 	professor-service : 	WARNING - [1522758089583] User with username: username1 has logged out.
03-04-2018 14:21:29 	54:BE:F7:5B:33:39 	professor-service : 	WARNING - [1522758089583] User with username: username1 has logged out.
