03-04-2018 03:21:16 34:23:87:02:53:AE referent-service :  DEBUG - this is a harmless debug message.
03-04-2018 03:21:16 34:23:87:02:53:AE referent-service :  INFO - this is a informing message
03-04-2018 03:21:16 34:23:87:02:53:AE referent-service :  WARNING - this is a warning message
03-04-2018 03:21:16 34:23:87:02:53:AE referent-service :  ERROR - this is an error message
03-04-2018 03:21:16 34:23:87:02:53:AE referent-service :  CRITICAL - this is a critical message
03-04-2018 03:22:26 	34:23:87:02:53:AE professor-service :  DEBUG - this is a harmless debug message.
03-04-2018 03:22:26 	34:23:87:02:53:AE professor-service :  INFO - this is a informing message
03-04-2018 03:22:26 	34:23:87:02:53:AE professor-service :  WARNING - this is a warning message
03-04-2018 03:22:26 	34:23:87:02:53:AE professor-service :  ERROR - this is an error message
03-04-2018 03:22:26 	34:23:87:02:53:AE professor-service :  CRITICAL - this is a critical message
03-04-2018 03:23:01 	34:23:87:02:53:AE referent-service : 	DEBUG - this is a harmless debug message.
03-04-2018 03:23:01 	34:23:87:02:53:AE referent-service : 	INFO - this is a informing message
03-04-2018 03:23:01 	34:23:87:02:53:AE referent-service : 	WARNING - this is a warning message
03-04-2018 03:23:01 	34:23:87:02:53:AE referent-service : 	ERROR - this is an error message
03-04-2018 03:23:01 	34:23:87:02:53:AE referent-service : 	CRITICAL - this is a critical message
03-04-2018 03:48:40 	34:23:87:02:53:AE professor-service : 	DEBUG - this is a harmless debug message.
03-04-2018 03:48:40 	34:23:87:02:53:AE professor-service : 	INFO - this is a informing message
03-04-2018 03:48:40 	34:23:87:02:53:AE professor-service : 	WARNING - this is a warning message
03-04-2018 03:48:40 	34:23:87:02:53:AE professor-service : 	ERROR - this is an error message
03-04-2018 03:48:40 	34:23:87:02:53:AE professor-service : 	CRITICAL - this is a critical message
03-04-2018 04:17:29 	34:23:87:02:53:AE professor-service : 	INFO - User with username: drstevanovic has logged in.
03-04-2018 04:17:37 	34:23:87:02:53:AE student-service : 	INFO - User with username: coa995 failed to log in.
03-04-2018 04:17:41 	34:23:87:02:53:AE referent-service : 	INFO - User with username: drstevanovic has logged out.
03-04-2018 04:19:49 	34:23:87:02:53:AE referent-service : 	INFO - User with username: drstevanovic failed to log in.
03-04-2018 04:19:51 	34:23:87:02:53:AE referent-service : 	INFO - User with username: drstevanovic has logged in.
03-04-2018 04:19:53 	34:23:87:02:53:AE referent-service : 	INFO - User with username: coa995 has logged in.
03-04-2018 04:19:55 	34:23:87:02:53:AE referent-service : 	INFO - User with username: filip.savic has logged in.
03-04-2018 04:19:57 	34:23:87:02:53:AE referent-service : 	INFO - User with username: filip.savic failed to log in.
03-04-2018 04:19:59 	34:23:87:02:53:AE referent-service : 	INFO - User with username: username1 has logged in.
03-04-2018 04:20:01 	34:23:87:02:53:AE referent-service : 	INFO - User with username: coa995 has logged in.
03-04-2018 04:20:03 	34:23:87:02:53:AE referent-service : 	INFO - User with username: username1 has logged out.
03-04-2018 04:20:05 	34:23:87:02:53:AE referent-service : 	INFO - User with username: drstevanovic has logged in.
03-04-2018 04:20:07 	34:23:87:02:53:AE referent-service : 	INFO - User with username: filip.savic has logged in.
03-04-2018 04:20:09 	34:23:87:02:53:AE referent-service : 	INFO - User with username: filip.savic has logged in.
03-04-2018 04:20:11 	34:23:87:02:53:AE referent-service : 	INFO - User with username: username1 has logged out.
