26-05-2018 11:36:45 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527327405305] User cojacasper failed to log in.
26-05-2018 11:36:49 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327409307] Non-user has tried to sign up for an exam!
26-05-2018 11:36:53 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327413316] User cojacasper logged in successfully
26-05-2018 11:36:53 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327413322] Signing up for an exam
26-05-2018 11:36:56 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327416333] Logged out successfully
26-05-2018 11:37:07 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327427353] Non-user has tried to check financial card!
26-05-2018 11:37:12 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327432372] Non-user has tried to check financial card!
26-05-2018 11:37:15 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327435384] Non-user has tried to sign up for an exam!
26-05-2018 11:37:19 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327439393] User drstevanovic logged in successfully
26-05-2018 11:37:19 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327439402] Signing up for an exam
26-05-2018 11:37:21 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527327441409] User fsavic failed to log in.
26-05-2018 11:37:26 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327446412] Signing up for an exam
26-05-2018 11:37:31 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327451417] Signing up for an exam
26-05-2018 11:37:36 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327456423] Signing up for an exam
26-05-2018 11:37:38 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327458427] Checking financial card
26-05-2018 11:37:43 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327463436] Signing up for an exam
26-05-2018 11:37:47 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327467446] Logged out successfully
26-05-2018 11:37:47 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327467449] User drstevanovic logged in successfully
26-05-2018 11:37:47 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327467451] Signing up for an exam
26-05-2018 11:40:11 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327611091] User drstevanovic logged in successfully
26-05-2018 11:40:11 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327611094] Signing up for an exam
26-05-2018 11:40:13 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327613100] User drstevanovic logged in successfully
26-05-2018 11:40:14 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327614110] Checking financial card
26-05-2018 11:40:18 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327618119] Signing up for an exam
26-05-2018 11:40:23 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327623126] Logged out successfully
26-05-2018 11:40:26 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527327626133] User cojacasper failed to log in.
26-05-2018 11:40:28 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327628145] Non-user has tried to sign up for an exam!
26-05-2018 11:40:29 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327629155] Non-user has tried to check financial card!
26-05-2018 11:40:30 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327630168] User drstevanovic logged in successfully
26-05-2018 11:40:30 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327630174] Checking financial card
26-05-2018 11:40:31 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327631181] Logged out successfully
26-05-2018 11:40:35 	84:CA:BE:F0:FB:95 	student-service : 	CRITICAL - [1527327635191] Non-user has tried to check financial card!
26-05-2018 11:40:38 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527327638204] User fsavic failed to log in.
26-05-2018 11:40:42 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327642215] User drstevanovic logged in successfully
26-05-2018 11:40:42 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327642218] Checking financial card
26-05-2018 11:40:43 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327643223] Signing up for an exam
26-05-2018 11:40:44 	84:CA:BE:F0:FB:95 	student-service : 	WARNING - [1527327644229] User fsavic failed to log in.
26-05-2018 11:40:48 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327648234] Signing up for an exam
26-05-2018 11:40:51 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327651244] Signing up for an exam
26-05-2018 11:40:56 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327656254] Signing up for an exam
26-05-2018 11:40:59 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327659261] Logged out successfully
26-05-2018 11:40:59 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327659269] User cojacasper logged in successfully
26-05-2018 11:40:59 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327659278] Logged out successfully
26-05-2018 11:41:01 	84:CA:BE:F0:FB:95 	student-service : 	INFO - [1527327661284] User drstevanovic logged in successfully
